Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 68.0.3440.106,,2018-08-23 10:56:52,2018-08-23 10:57:00,"7,790s",PASSED
,,,,,,
Test Cases/Test1,Chrome 68.0.3440.106,,2018-08-23 10:56:53,2018-08-23 10:57:00,"7,008s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-23 10:56:53,2018-08-23 10:56:56,"2,696s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-23 10:56:56,2018-08-23 10:56:58,"1,756s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 10:56:58,2018-08-23 10:56:58,"0,429s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-23 10:56:58,2018-08-23 10:56:58,"0,171s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-23 10:56:58,2018-08-23 10:56:59,"0,410s",PASSED
click,Chrome 68.0.3440.106,,2018-08-23 10:56:59,2018-08-23 10:56:59,"0,367s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-23 10:56:59,2018-08-23 10:57:00,"0,859s",PASSED
