Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 68.0.3440.106,,2018-09-03 13:44:40,2018-09-03 13:44:51,"10,317s",PASSED
,,,,,,
Test Cases/Test1,Chrome 68.0.3440.106,,2018-09-03 13:44:41,2018-09-03 13:44:50,"9,736s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-03 13:44:41,2018-09-03 13:44:45,"4,088s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-03 13:44:45,2018-09-03 13:44:47,"2,022s",PASSED
click,Chrome 68.0.3440.106,,2018-09-03 13:44:47,2018-09-03 13:44:48,"0,744s",PASSED
setText,Chrome 68.0.3440.106,,2018-09-03 13:44:48,2018-09-03 13:44:48,"0,291s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-03 13:44:48,2018-09-03 13:44:49,"0,690s",PASSED
click,Chrome 68.0.3440.106,,2018-09-03 13:44:49,2018-09-03 13:44:50,"0,451s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-03 13:44:50,2018-09-03 13:44:50,"0,994s",PASSED
